bike-rack,61
cash-machine,43
church,20
convenience-shop,19
fish-and-chips,69
garden-centre,79
golf-course,28
indian-restaurant,70
kebab,98
library,52
lighthouse,61
mcdonalds,83
motorway,173
museum,38
post-office,18
postbox,18
pub,34
public-toilet,17
starbucks,95
supermarket,36
train-station,61
windmill,186
